reason,customer_npi,customer_id,clinic_id,vendor,integration_type,result_enabled,msh06_receiving_facility,clinic_name,updated_at,id
npi_bad_check_digit,1000000019,5142,45311,MDHQ(Cerbo),FULL_INTEGRATION,1,5142,Carpathia Collaborative,2026-05-14 21:40:37,cmj99ijtr000h0xf1sown4pch
npi_bad_check_digit,1000000019,5142,45311,MDHQ(Cerbo),FULL_INTEGRATION,1,5142,Carpathia Collaborative,2026-05-14 21:40:37,cmjxap7ud002z0xfqf4bnw29l
npi_bad_check_digit,1000000074,5534,136186,OptimalDX,FULL_INTEGRATION,1,5534,"Viva La Vida Wellness, LLC",2026-05-14 21:40:37,cmjklx29b00b10xfe4hsbgw1y
npi_bad_check_digit,1000000123,5482,79210,,ORDER_ONLY,0,,UltraWellness Center,2026-06-11 23:53:05,cmqa5kvkn00110x96dlzgf4xt
no_clinic_id,1003336108,5058,,,ORDER_ONLY,0,,FEM Centre (Fort Worth),2026-06-11 23:53:05,cmqa5kvkn000y0x96walbtnkd
npi_bad_check_digit,1013946707,5629,6767,Practice Fusion,FULL_INTEGRATION,1,6201,Apollo Medical Associates,2026-05-14 21:40:37,cmj98e6xv00110xmu3n2ywx2e
npi_bad_check_digit,1013946707,5629,6767,Practice Fusion,FULL_INTEGRATION,1,6201,Apollo Medical Associates,2026-05-14 21:40:37,cmjxapshy008d0xfqulcjuf7n
no_clinic_id,1023045663,1373,,ATHENA,FULL_INTEGRATION,1,1373,Vine Medical Associates,2025-12-17 00:22:29,cmj99owpd000v0xj1se1m8tpy
no_clinic_id,1023045663,1373,,ATHENA,FULL_INTEGRATION,1,1373,Vine Medical Associates,2026-01-02 19:57:59,cmjxaq8l400ch0xfq00cbfanl
no_clinic_id,1023218161,10819,,MDHQ(Cerbo),FULL_INTEGRATION,1,10818,Parsley Health Virtual/Complete Care Anywhere,2026-01-02 19:57:49,cmjxaq1hg00ap0xfq8u44hdln
no_clinic_id,1023218161,10819,,MDHQ(Cerbo),FULL_INTEGRATION,1,10818,Parsley Health Virtual/Complete Care Anywhere,2025-12-16 23:54:48,cmj98pb43000p0xt5uhdahq24
no_clinic_id,1023345436,1973,,ATHENA,FULL_INTEGRATION,1,1973,FEM Centre (Fort Worth),2025-12-17 00:22:30,cmj99oxsk001h0xj1ctv95o0q
no_clinic_id,1023345436,1973,,ATHENA,FULL_INTEGRATION,1,1973,FEM Centre (Fort Worth),2026-01-02 19:58:02,cmjxaqaxt00d30xfqtzw00gsf
no_clinic_id,1023345436,1979,,,ORDER_ONLY,0,,FEM Centre (Colleyville),2026-06-11 23:53:05,cmqa5kvkm000g0x96qx39ulwi
no_clinic_id,1083900310,8310,,MDHQ(Cerbo),FULL_INTEGRATION,1,8310,Vital Healing Functional Medicine,2026-01-02 19:57:18,cmjxapd6n004d0xfq7oqir1pk
no_clinic_id,1114187788,11727,,,ORDER_ONLY,0,,Parsley Health (4),2026-06-11 23:53:05,cmqa5kvkp00200x96cf418b9x
no_clinic_id,1114187788,14938,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkr003c0x96ohp7s6zg
npi_bad_check_digit,1121201164,9589,54038,,ORDER_ONLY,0,,Bear Creek Naturopathic Clinic,2026-06-11 23:53:05,cmqa5kvko001r0x969c3udn5b
no_clinic_id,1124183017,2152,,,ORDER_ONLY,0,,Integrative Health and Wellness (Livingston) (CLOSED),2026-06-11 23:53:05,cmqa5kvkm000h0x96tx3w70dj
no_clinic_id,1124280359,10828,,MDHQ(Cerbo),FULL_INTEGRATION,1,10818,Parsley Health Virtual/Complete Care Anywhere,2026-01-02 19:57:52,cmjxaq35x00b30xfqbepbc6as
no_clinic_id,1124280359,10828,,MDHQ(Cerbo),FULL_INTEGRATION,1,10818,Parsley Health Virtual/Complete Care Anywhere,2025-12-16 23:54:49,cmj98pbrz00130xt5p8j0rp3b
no_clinic_id,1134519580,11736,,,ORDER_ONLY,0,,Parsley Health (4),2026-06-11 23:53:05,cmqa5kvkq00280x96382kiuw8
no_clinic_id,1134519580,14941,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkr003f0x96pqkgh5fi
no_clinic_id,1144288861,13088,,,ORDER_ONLY,0,,Rupa Health,2026-06-11 23:53:05,cmqa5kvkq002i0x96zzrcmml3
no_clinic_id,1174818280,13450,,,ORDER_ONLY,0,,Parsley Health LA,2026-06-11 23:53:05,cmqa5kvkq002m0x9683ynerue
npi_bad_check_digit,1219201925,9730,126655,MDHQ(Cerbo),FULL_INTEGRATION,1,9730,RTHM,2026-05-14 21:40:37,cmjxap5on002f0xfqw68jfja8
no_clinic_id,1225288640,1976,,,ORDER_ONLY,0,,FEM Centre (Colleyville),2026-06-11 23:53:05,cmqa5kvkm000d0x96nykt1wk9
npi_bad_check_digit,1234567890,999997,10136,ZymeBalanz,FULL_INTEGRATION,1,10136,Vibrant America Test Clinic,2025-09-12 23:08:31,c00002QY1FKVV00T2I0A8000N
no_clinic_id,1245490853,15540,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvks003q0x96rh3dkjbb
no_clinic_id,1255390217,1339,,,ORDER_ONLY,0,,Atlanta Functional Medicine,2026-06-11 23:53:05,cmqa5kvkm00070x96wqhhy3ej
no_clinic_id,1255974051,14929,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkr00330x96we9vrvn0
no_clinic_id,1255974051,9897,,MDHQ(Cerbo),FULL_INTEGRATION,1,4630,Parsley Health LA,2026-01-02 19:57:48,cmjxaq00c00ab0xfqf06czlgw
no_clinic_id,1255974051,9897,,MDHQ(Cerbo),FULL_INTEGRATION,1,4630,Parsley Health LA,2025-12-16 23:54:47,cmj98pag6000b0xt5dyyxu06z
no_clinic_id,1285676080,2825,,,ORDER_ONLY,0,,Hypertension Institute INT5,2026-06-11 23:53:05,cmqa5kvkn000o0x96g4upv7kf
no_clinic_id,1285925735,11731,,,ORDER_ONLY,0,,Parsley Health (4),2026-06-11 23:53:05,cmqa5kvkp00230x96djfqkwro
no_clinic_id,1295025658,10837,,MDHQ(Cerbo),FULL_INTEGRATION,1,4630,Parsley Health LA,2025-12-16 23:54:47,cmj98pajh000d0xt5dccgmtmp
no_clinic_id,1295025658,10837,,MDHQ(Cerbo),FULL_INTEGRATION,1,4630,Parsley Health LA,2026-01-02 19:57:48,cmjxaq07u00ad0xfqevka9oqs
no_clinic_id,1316450927,11739,,,ORDER_ONLY,0,,Parsley Health (4),2026-06-11 23:53:05,cmqa5kvkq002a0x969vchqit8
no_clinic_id,1316450927,14939,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkr003d0x96gk2fo7mi
no_clinic_id,1366543621,1975,,ATHENA,FULL_INTEGRATION,1,1975,FEM Centre (Colleyville),2025-12-17 00:22:30,cmj99oxz7001l0xj1pa6sbpkw
