npi,rows,clinics,customers,kind,has_null_clinic,winner_customer,winner_clinic,winner_type,winner_fails,tie_decided_by_row_order,vendors,customer_rtr
1740214022,2,118238 123431,25168 25337,multi-clinic+multi-customer,,25168,118238,FULL_INTEGRATION,,,ATHENA/null,25168:78 25337:0
1740623677,2,21581 10040,15964 7337,multi-clinic+multi-customer,,15964,21581,FULL_INTEGRATION,,Y,POWER2PRACTICE,15964:9 7337:0
1750446159,4,2930 8003 36290 22106,2797 6263 19472 30528,multi-clinic+multi-customer,,30528,22106,FULL_INTEGRATION,,,FOLLOWTHATPATIENT,2797:0 6263:0 19472:0 30528:0
1790723013,2,968 NULL,1673 2366,multi-clinic+multi-customer,Y,1673,968,ORDER_ONLY,,Y,null,1673:0 2366:0
1821312489,2,11645 56054,12087 6902,multi-clinic+multi-customer,,12087,11645,FULL_INTEGRATION,,Y,MDHQ(Cerbo)/Practice Fusion,12087:0 6902:0
1851809230,2,124365 122453,14761 6306,multi-clinic+multi-customer,,14761,124365,FULL_INTEGRATION,,Y,OptiMantra/Practice Fusion,14761:141 6306:0
1902554140,2,145373 151504,47714 48127,multi-clinic+multi-customer,,48127,151504,FULL_INTEGRATION,,,FOLLOWTHATPATIENT,47714:53 48127:0
1932593829,2,2453 96085,2538 15696,multi-clinic+multi-customer,,2538,2453,FULL_INTEGRATION,,,Practice Fusion/null,2538:0 15696:0
1932611027,2,130528 48359,18804 5568,multi-clinic+multi-customer,,18804,130528,FULL_INTEGRATION,,Y,CharmEHR,18804:197 5568:110
1972758464,2,9797 46916,7229 6352,multi-clinic+multi-customer,,7229,9797,FULL_INTEGRATION,,,Practice Fusion/null,7229:0 6352:0
1982602942,2,73303 22589,12137 13141,multi-clinic+multi-customer,,12137,73303,FULL_INTEGRATION,,,HealthMatters/null,12137:16 13141:0
Internal N,2,8093 14774,503888 506855,multi-clinic+multi-customer,,503888,8093,FULL_INTEGRATION,,Y,Practice Fusion/ATHENA,503888:4 506855:0
